,unlist.var_labels.
mdia_i,mother-diast bp(mmhg) 2nd reading at pmns2
mpul1_i,mother-pulse (/min)1st reading at pmns2
mpul_i,mother-pulse (/min)2nd reading at pmns2
base_fna,base_fname for dxa scan at pmns2
cdxht_i,Childs height during dxa at pmns2
cdxwt_i,Childs weight during dxa at pmns2
cscdt_i,date of  DXA scan at pmns2
canaldt,pmns2 dxa scan analysis date
cbmd_i0,Child-bmd-head-pmns2
cbmc_i0,Child-bmc-head-pmns2
carea_i0,Child-area-head-pmns2
cstis_i0,Child-soft tissue-head-pmns2
cfat_i0,Child-fat-head-pmns2
clean_i0,Child-lean-head-pmns2
cbmd_i1,Child-bmd-arm-pmns2
cbmc_i1,Child-bmc-arm-pmns2
carea_i1,Child-area-arm-pmns2
cstis_i1,Child-soft tissue-arm-pmns2
cfat_i1,Child-fat-arm-pmns2
clean_i1,Child-lean-arm-pmns2
cbmd_i2,Child-bmd-leg-pmns2
cbmc_i2,Child-bmc-leg-pmns2
carea_i2,Child-area-leg-pmns2
cstis_i2,Child-soft tissue-leg-pmns2
cfat_i2,Child-fat-leg-pmns2
clean_i2,Child-lean-leg-pmns2
cbmd_i3,Child-bmd-trunk-pmns2
cbmc_i3,Child-bmc-trunk-pmns2
carea_i3,Child-area-trunk-pmns2
cstis_i3,Child-soft tissue-trunk-pmns2
cfat_i3,Child-fat-trunk-pmns2
clean_i3,Child-lean-trunk-pmns2
cbmd_i4,Child-bmd-ribs-pmns2
cbmc_i4,Child-bmc-ribs-pmns2
carea_i4,Child-area-ribs-pmns2
cstis_i4,Child-soft tissue-ribs-pmns2
cfat_i4,Child-fat-ribs-pmns2
clean_i4,Child-lean-ribs-pmns2
cbmd_i5,Child-bmd-pelvis-pmns2
cbmc_i5,Child-bmc-pelvis-pmns2
carea_i5,Child-area-pelvis-pmns2
cstis_i5,Child-soft tissue-pelvis-pmns2
cfat_i5,Child-fat-pelvis-pmns2
clean_i5,Child-lean-pelvis-pmns2
cbmd_i6,Child-bmd-spine-pmns2
cbmc_i6,Child-bmc-spine-pmns2
carea_i6,Child-area-spine-pmns2
cstis_i6,Child-soft tissue-spine-pmns2
cfat_i6,Child-fat-spine-pmns2
clean_i6,Child-lean-spine-pmns2
cbmd_i7,Child-bmd-spine1-pmns2
cbmc_i7,Child-bmc-spine1-pmns2
carea_i7,Child-area-spine1-pmns2
cstis_i7,Child-soft tissue-spine1-pmns2
cfat_i7,Child-fat-spine1-pmns2
clean_i7,Child-lean-spine1-pmns2
cbmd_i8,Child-bmd-spine2-pmns2
cbmc_i8,Child-bmc-spine2-pmns2
carea_i8,Child-area-spine2-pmns2
cstis_i8,Child-soft tissue-spine2-pmns2
cfat_i8,Child-fat-spine2-pmns2
clean_i8,Child-lean-spine2-pmns2
cbmd_i9,Child-bmd-total-pmns2
cbmc_i9,Child-bmc-total-pmns2
carea_i9,Child-area-total-pmns2
cstis_i9,Child-soft tissue-total-pmns2
cfat_i9,Child-fat-total-pmns2 (gm)
clean_i9,Child-lean-total-pmns2
cdxa_i,child dxa done at pmns2
cfatp_i9,child fat% by fatmass/stiss+bmc dxa at pmns2
clenp_i9,child len% by lean mass/stiss+bmc dxa at pmns2
slipmns2,SLI done at pmns2
dtsli2,date of SLI done at pmns2
sl_6,family type-slipmns2
sl_7,total no of persons –slipmns2
sl_8,drinking water source –slipmns2
sl_9,toilet facility –slipmns2
sl_10,light source –slipmns2
sl_10sp,other light source details –slipmns2
sl_11,no of rooms in house –slipmns2
sl_12,separate kithchen? –slipmns2
sl_13,fuel type –slipmns2
sl_13sp,other fuel type –slipmns2
sl_14,house ownership –slipmns2
sl_15,house type –slipmns2
sl_16,agriculture land ownership –slipmns2
sl_16sp,size of agriculture land –slipmns2
sl_17,size of irrigated land –slipmns2
sl_18,any livestock? –slipmns2
sl_18sp,total livestock –slipmns2
slt1,matress –slipmns2
slt2,pressure cooker –slipmns2
slt3,chair –slipmns2
slt4,"bed,cot –slipmns2"
slt5,table –slipmns2
slt6,"clock,watch –slipmns2"
slt7,electric fan –slipmns2
slt8,bicycle –slipmns2
slt9,"rdio,transistor –slipmns2"
slt10,tv – sli pmns2
slt11,colour tv – sli pmns2
slt12,2 whheler – sli pmns2
slt13,4 wheeler – sli pmns2
slt14,water pump – sli pmns2
slt15,bullock cart – sli pmns2
slt16,thresher – sli pmns2
slt17,tractor – sli pmns2
slt18,refrigerator – sli pmns2
slt19,telephone – sli pmns2
slt20,sewing machine – sli pmns2
s_hsetyp,housetype score – sli pmns2
s_toilet,toilet facility score – sli pmns2
s_light,lighting source score – sli pmns2
s_cook,fuel for cooking score – sli pmns2
s_water,water source score – sli pmns2
s_kitch,sep.kitchen facility score – sli pmns2
s_ownhse,house ownership score – sli pmns2
s_agri,agri land ownership score – sli pmns2
s_irr,irrigated land ownership score – sli pmns2
s_livest,livestock ownership score – sli pmns2
s_it13,4 wheeler score -slipmns2
s_it17,tractor score -slipmns2
s_it12,2 wheeler score -slipmns2
s_it19,telephone score -slipmns2
s_it18,refrigerator score -slipmns2
s_it11,color tv score -slipmns2
s_it7,electric fan score -slipmns2
s_it8,bicycle score -slipmns2
s_it9,readio-transistor score -slipmns2
s_it10,tv score -slipmns2
s_it14,water pump score --slipmns2
s_it15,bullock cart - -slipmns2
s_it16,thresher score -slipmns2
s_it20,sewing machine -slipmns2
s_it1,matrees score -slipmns2
s_it2,pressure cooker -slipmns2
s_it3,chair score -slipmns2
s_it4,bed cot score -slipmns2
s_it5,table score -slipmns2
s_it6,"clock, watch score-slipmns2"
items,item score -slipmns2
cpm,cpm:colo progressive matrices test done at pmns2
cpm_rs,cpm test-correct response at pmns2
cpm_er,cpm test-errors at pmns2
cpm_min,cpm - test time in minutes at pmns2
cpm_sec,cpm-test time in seconds at pmns2
cpm_per,cpm-percentile rank at pmns2
cpm_rm,cpm-remarks at pmns2
pc,picture completion test done at pmns2
pc_rs,pictute completion - correct respopnses at pmns2
pc_er,picture completion – errors at pmns2
pc_tq,picture completion - total quotient  at pmns2
ds,digit span test done at pmns2
df_sc,digit span-forward score at  pmns2
df_sp,digit span-forward span at  pmns2
db_sc,digit span-backward score at  pmns2
db_sp,digit span-backward span at  pmns2
dst_sc,digit span-total score f+b at  pmns2
dst_sp,digit span-total span f+b at  pmns2
dst_tq,digit span-total quotient at  pmns2
tm1,trail making test-1 done at pmns2
tm1_min,trail making-1 time in minutes at pmns2
tm1_sec,trail making-1 time in seconds at pmns2
tm1_tm,trail making-1 total time in seconds at pmns2
tm1_er,trail making-1 erros at pmns2
tm1_lop,trail making-1 low percentile at pmns2
tm1_hip,trail making-1 hi percentile at pmns2
tm2,trail making test-2 done at pmns2
tm2_min,trail making-2 time in minutes at pmns2
tm2_sec,trail making-2 time in seconds at pmns2
tm2_tm,trail making-2 total time in seconds at pmns2
tm2_er,trail making-2 erros at pmns2
tm2_lop,trail making-2low percentile at pmns2
tm2_hip,trail making-2  hi percentile at pmns2
avlt,avlt test done at pmns2
av_tlsc,avlt-total learning score at pmns2
av_tllo,avlt-total learning score-low perc at pmns2
av_tlhi,avlt-total learning score - high perc at pmns2
av_drsc,avlt-delayed recall score at pmns2
av_drlo,avlt-delayed recall score-low perc at pmns2
av_drhi,avlt-delayed recall score-high perc at pmns2
bd,block design test done at pmns2
bd_sc,block design-total score at pmns2
bd_tm,block design-total time in seconds at pmns2
bd_tql,block design-low perc at pmns2
bd_tqh,block design-hi perc at pmns2
bd_cr,block design-correct response at pmns2
nu_comm,nuro testing comment at pmns2
nurorec,neuro test administrator at pmns2
pc_rs4,pictute completion - correct respopnses before 4 consecutive wrong at pmns2
pc_er4,picture completion - errors before 4 consecutive wrong at pmns2
pc_tq4,picture completion - total quotient before 4 consecutive wrong at pmns2
neuropmns2,neuro cognitive test done at pmns2
cpm_tm,cpm test total time in minutes at pmns2
dt_ffq,date of child ffq at pmns2
ffq_i,ffq done at pmns2
a1,tea score at pmns2
a21,goat milk score at pmns2
a22,cow milk  score at pmns2
a23,buffalo milk score at pmns2
a3,cofee score at score at pmns2
l1,curds score at score at pmns2
l2,buttermilk score at  pmns2
l4,icecream score at pmns2
l5,kulfi score at pmns2
l6,cheese score at pmns2
l9,lassi score at pmns2
l10,paneer score at pmns2
p16,basundi score at pmns2
p2,shrikhanda score at pmns2
p11,pedha/khawa score at pmns2
q2,kharwas score at pmns2
p9,kheer score at pmns2
b1,jawar roti score at pmns2
b2,bajra roti score at pmns2
b3,chapati score at pmns2
b5,thalipith score at pmns2
b6,dhirde score at pmns2
b15,nachni score at pmns2
i7,warai score at pmns2
n1,upma/shira score at pmns2
n2,pohe score at pmns2
p1,puranpoli score at pmns2
c1,rice score at pmns2
c2,spicy rice score at pmns2
c4,khichdi score at pmns2
d2_I,toor dal score at pmns2
d4_I,moong dal score at pmns2
d5_I,urid dal score at pmns2
e1,moong score at pmns2
e2,harbara score at pmns2
e3,chawli score at pmns2
e4,hulga score at pmns2
e5,peas score at pmns2
e7,matki score at pmns2
e8,rajma score at pmns2
e10,french beans score at pmns2
e11,tur score at pmns2
e15,masoor score at pmns2
e16,pawta score at pmns2
e20,soyabean score at pmns2
i33,phutane score at pmns2
f12,batata score at pmns2
f32,wangi score at pmns2
f42,gawar score at pmns2
f162,bhendi score at pmns2
f72,kobi  score at pmns2
f82,cauliflower score at pmns2
f112,karale score at pmns2
f192,simla mirchi score at pmns2
f102,shewga  score at pmns2
j41,beet root  score at pmns2
j18,cucumber  score at pmns2
g12,palak  score at pmns2
g22,methi  score at pmns2
g132,amaranth  score at pmns2
n72,aloo leaves score at pmns2
g81,kothimbir  score at pmns2
g102,ambat chooka  score at pmns2
g141,raddish leaves at pmns2
h12,pudina  beans score at pmns2
h1,mirchi kharda score at pmns2
h2,ground nut chutney  score at pmns2
h3,"sesame, karale chutney  score at pmns2"
j9,orange score at pmns2
j38,awla score at pmns2
j1,bor score at pmns2
j5,guava  score at pmns2
j4,banana score at pmns2
j2,tamarind  score at pmns2
j23,carrot score at pmns2
j14,tomato score at pmns2
j20,lemon score at pmns2
j28,grren gram tender score at pmns2
j21,red gram tender score at pmns2
k11,chicken score at pmns2
k22,mutton score at pmns2
k23,liver score at pmns2
k34,eggs score at pmns2
k7,fish score at pmns2
k51,dry fish score at pmns2
n20,idli score at pmns2
n181,dosa score at pmns2
n18,utaapa score at pmns2
n17,dhokla score at pmns2
n201,meduvada score at pmns2
t1,bournvita score at pmns2
t2,horlicks score at pmns2
t3,complan score at pmns2
l3,ghee score at pmns2
l7,butter score at pmns2
l11,dalda score at pmns2
m1,cread/pav score at pmns2
m2,toast score at pmns2
m6,khari score at pmns2
m4,khare butter score at pmns2
m3,biscuit score at pmns2
m7,cake score at pmns2
m5,cream roll score at pmns2
n12,batatawada /bhaji score at pmns2
n14,samosa score at pmns2
n11,pharsan/papdi/bundi score at pmns2
q7,missal score at pmns2
n13,wafers/bobby score at pmns2
h92,fried papad score at pmns2
o17,chololate score at pmns2
o18,limlet sweets score at pmns2
p7,bundi/ladu score at pmns2
a81,pepsi cola score at pmns2
a8,colddrink score at pmns2
n221,maggie score at pmns2
g,glv-all score at pmns2
j,fruits-all score at pmns2
asc,beverages score at pmns2
lsc,milk products score at pmns2
bsc,rotis score at pmns2
csc,rice score at pmns2
dsc,dal score at pmns2
esc,pulses score at pmns2
fsc,vegetables score at pmns2
gsc,glv score at pmns2
jsc,fruits score at pmns2
hsc,chutney score at pmns2
ksc,nonveg score at pmns2
ffsc,fermented food score at pmns2
supsc,supplement score at pmns2
sfasc,saturated fats score at pmns2
msc,bakery products score at pmns2
nsc,fried-salty snacks score at pmns2
ssc,sweet snacks score at pmns2
usc,ready to eat score at pmns2
fibsc,fibre rich score at pmns2
mlksc,milk score score at pmns2
oilgnut,groundnut oil –pmns2
oilsun,sunflower oil –pmns2
oilsaf,safflower oil –pmns2
oilpalm,palm oil–pmns2
oilmust,mustard oil–pmns2
oilsoya,soybeen oil–pmns2
oilcoco,coconut oil–pmns2
oiloth1,other oil-1–pmns2
oiloth2,other oil-2–pmns2
oiloth3,other oil-3–pmns2
totoil,total oil per month-kg/mo–pmns2
cook1,when do you wash vegetables? –pmns2
cook2,when do you cuts vegs before cooking–pmns2
cook3,what do you do with excess water–pmns2
cook4,how do you cook food–pmns2
conut1,total dry coconut-kg/mo–pmns2
conut2,total fresh coconut-no/mo–pmns2
gnut,total groundnuts-kg–pmns2
sesam,total sesame-kg-pmns2
ut1,aluminium utensils–pmns2
ut2,german utensils–pmns2
ut3,steel utensils–pmns2
ut4,iron utensils–pmns2
ut5,other type of utensils–pmns2
sugar,total sugar-kg/mo–pmns2
jagg,total jaggery-kg/mo–pmns2
ad,total no of adults – pmns2
ch,total no of children– pmns2
hyg1,do you wash hands after defacation? – pmns2
hyg1a,wash with soap– pmns2
hyg1b,wash with only water– pmns2
hyg1c,wash with other– pmns2
hyg1csp,details of other– pmns2
hyg2,do wash your hands before eating? – pmns2
hyg2a,wash with soap– pmns2
hyg2b,wash with only water– pmns2
hyg2c,wash with other– pmns2
hyg2csp,details of other– pmns2
cheat,how do you think your child eats? – pmns2
oilyn,oil questionaire– pmns2
oil_i,oil questionaire– pmns2
cagedxi,childs age at the pmns2 dxa
pmns2dxa,pmns2 dxa details
cldl_i,child ldl cholesterol using freiwald eqn  at pmns2
ncb12_i,normalized child b12 at pmns2-lg
ncsfol_i,normalized child serum folate at pmns2-lg
ncinsf_i,normalized child fasting insulin at pmns2-cuber
nctg_i,normalized child triglycerides at pmns2 -lg
nfchol_i,normalized fathers  cholesterol at pmns2-lg
nftg_i,normalized fathers triglycrides at pmns2 –lg
nfb12_i,normalized father b12 at pmns2-lg
nfsfol_i,normalized father serum folate at pmns2-lg
nmchol_i,normalized mothers  cholesterol at pmns2-lg
nmtg_i,normalized mothers triglycerides  at pmns2–lg
nmb12_i,normalized mother b12 at pmns2-lg
nmsfol_i,normalized mother serum folate at pmns2-lg
ncfat_i9,normalized fat mass by dxa at pmns2 -lg
spm_rs,spm test-correct response  - pmns2
spm_er,spm test-errors – pmns2
spm_min,spm - test time in minutes – pmns2
spm_sec,spm-test time in seconds – pmns2
spm_lop,spm-low percentile rank – pmns2
spm_hip,spm-hi percentile rank – pmns2
spm_rm,spm-remarks - pmns2
spm_tm,spm test-total time in minutes  - pmns2
dtspmf,date of spm - pmns2
spmf,spm test done at pmns2
cagespmi,childs age at spm test at pmns2
nchcy_i,normalized childs homocysteine at pmns2-LG
nfhcy_i,normalized fathers homocysteine at pmns2-LG
nmhcy_i,normalized mothers  homocysteine at pmns2-LG
nccrp_i,normalized childs crp  at pmns2-LG
nclept_i,normalised child leptin at pmns2-LG
nctotaladip_i,normalized child adiponectin at pmns2 -logged
ctotcal_i,childs total caloric intake by ffq at pmns2
ctotcarb_i,childs total carbohydrate intake by ffq at pmns2
ctotfat_i,childs total fat intake by ffq at pmns2
ctotpro_i,childs total protein intake by ffq at pmns2
c677tm,mother c677c->t
c677tc,child c677c->t
c677tf,father c677c->t
pat1_28s,ffq-principal component 1 for 28wk or visit-2 -summer
pat2_28s,ffq-principal component 2 for 28wk or visit-2 -summer
pat3_28s,ffq-principal component 3 for 28wk or visit-2 -summer
pat4_28s,ffq-principal component 4 for 28wk or visit-2 -summer
pat5_28s,ffq-principal component 5 for 28wk or visit-2 -summer
pat1_28r,ffq-principal component 1 for 28wk or visit-2 -rain
pat2_28r,ffq-principal component 2 for 28wk or visit-2 -rain
pat3_28r,ffq-principal component 3 for 28wk or visit-2 -rain
pat4_28r,ffq-principal component 4 for 28wk or visit-2 -rain
pat5_28r,ffq-principal component 5 for 28wk or visit-2 -rain
pat6_28r,ffq-principal component 6 for 28wk or visit-2 -rain
pat1_28w,ffq-principal component 1 for 28wk or visit-2 -winter
pat2_28w,ffq-rincipal component 2 for 28wk or visit-2 -winter
pat3_28w,ffq-principal component 3 for 28wk or visit-2 -winter
pat4_28w,ffq-principal component 4 for 28wk or visit-2 -winter
pat5_28w,ffq-principal component 5 for 28wk or visit-2 -winter
pat6_28w,ffq-principal component 6 for 28wk or visit-2 -winter
rcf1nm,red cell folate at 1st visit (nmol/L) 2.26xng/ml
rcf2nm,red cell folate at 2nd  visit (nmol/L) 2.26xng/ml
ncsfol_6,normalized childs plasma folate at 6y-logged
ppfatper,pre pregnant fat% using Durnins equation
zbw,Normal Score of bw using Blom's Formula by sex gestgr (filter of matmet n=700)
bwcent,bw centile by gest & sex (filter of matmet n=700)
sga,sga (filter of matmet n=700)
ncage6,normalised childs age at 6y fup (logged)
adjbw,birth weight adjusted to 40 wks
adjht,length at birth adjusted to 40 wks
adjhc,head circ at birth adjusted to 40 wks
adjma,mid arm circ at birth adjusted to 40 wks
adjss,subscapular at birth adjusted to 40 wks
adjtr,tricep at birth adjusted to 40 wks
adjpind,ponderal index  at birth adjusted to 40 wks
zadjbw,zscore:  birth weight adjusted to 40 wks
zadjht,zscore:  length at birth adjusted to 40 wks
zadjhc,zscore:  head circ at birth adjusted to 40 wks
zadjma,zscore:  mid arm circ at birth adjusted to 40 wks
zadjss,zscore:  subscapular at birth adjusted to 40 wks
zadjtr,zscore:  tricep at birth adjusted to 40 wks
birthpca_1,pmns offspring birth pca component 1
birthpca_2,pmns offspring birth pca component 2
birthpca_3,pmns offspring birth pca component 3
birthpca_4,pmns offsoring birth pca component 4
birthpca_5,pmns offspring birth pca component 5
birthpca_6,pmns offspring birth pca component 6
ncagedx6,normalised childs age at 6y dxa (logged)
agear,childs age at adiposity rebound (years)
chomabeta_i,child-homabeta at pmns2 using oxford model
chomas_i,child-homas at pmns2 using oxford model
chomar_i,child-homar at pmns2 using oxford model
cdtmenar,pmns child date of menarchy
cmenarcode,pmns child menarchy code
cagemenar,pmns child age at menarchy
chomabeta6,childs homa beta at 6y using oxford model
chomas6,childs homas at 6y  using oxford model
chomar6,childs homar at  6y oxford model
fhomabeta6,fathers homa beta at 6y  using oxford model
fhomas6,fathers homa beta at 6y using oxford model
fhomar6,fathers homaR at 6y oxford model
mhomabeta6,mothers homa beta at 6y using oxford model
mhoma6,mothers homas at 6y using oxford model
mhomar6,mothers homaR at 6y using oxford model
fhomabeta_i,fathers homabeta at pmns2 using oxford model
fhomas_i,fathers homas at pmns2 using oxford model
fhomar_i,fathers homa R at pmns2 using oxford model
mhomabeta_i,mothers homa beta at pmns-2 using oxford model
mhomas_i,mothers homas at pmns2 using oxford model
mhomar_i,mothers homa R at pmns2 usinmg oxford model
nchomar6,normalised child insulin resistance at 6y (logged) based on oxford model
nfhomar6,normalised fathers insulin resistance at 6y (logged) based on oxford model
nmhomar6,normalised mothers insulin resistance at 6y (logged) based on oxford model
cghbf,childs ghb at15-16y (%)
nmhomar_i,normalised child insulin resistance at pmns2 (logged) based on oxford model
nchomar_i,normalised fathers insulin resistance at pmns2 (logged) based on oxford model
nfhomar_i,normalised mothers insulin resistance at pmns2 (logged) based on oxford model
nrcf1nm,normalised red cell folate nmol/L at 18 wks-logged
nrcf2nm,normalised red cell folate nmol/L at 28 wks-logged
fac1_18w,REGR factor score   1 for analysis 1
fac2_18w,REGR factor score   2 for analysis 1
fac3_18w,REGR factor score   3 for analysis 1
fac4_18w,REGR factor score   4 for analysis 1
fac5_18w,REGR factor score   5 for analysis 1
fac1_28w,REGR factor score   1 for analysis 1
fac2_28w,REGR factor score   2 for analysis 1
fac3_28w,REGR factor score   3 for analysis 1
fac4_28w,REGR factor score   4 for analysis 1
fac5_28w,REGR factor score   5 for analysis 1
fac6_28w,REGR factor score   6 for analysis 1
fac1_preg,REGR factor score   1 for analysis 1
fac2_preg,REGR factor score   2 for analysis 1
fac3_preg,REGR factor score   3 for analysis 1
fac4_preg,REGR factor score   4 for analysis 1
fac5_preg,REGR factor score   5 for analysis 1
fac6_preg,REGR factor score   6 for analysis 1
fac7_preg,REGR factor score   7 for analysis 1
fac8_preg,REGR factor score   8 for analysis 1
fac9_preg,REGR factor score   9 for analysis 1
fac10_preg,REGR factor score  10 for analysis 1
fac11_preg,REGR factor score  11 for analysis 1
FAC1_1,REGR factor score   1 for analysis 1
FAC2_1,REGR factor score   2 for analysis 1
FAC3_1,REGR factor score   3 for analysis 1
FAC4_1,REGR factor score   4 for analysis 1
cinsby_18y,child Insulin done by at 18 yr
remins_18y,Remark if any on insulins at 18y
chomabeta_18y,child homa beta(%) at 18y using oxford model
chomas_18y,child homa sensitivity (%) at 18y using oxford model
chomar_18y,child homa resistence at 18y using oxford model
csyst_18y,childs systolic bp at 18y (mmhg)
cdiast_18y,childs diastolic bp at 18y (mmhg)
cpulse_18y,childs pulse rate at 18y (/min)
rtempbp_18y,room temparature at childs bp recording at 18y (oC)
cbp_18y, child bp recorded at 18y
cbpmcode_18y,childs bp at 18y measured by
subno6dup,family number at the time of modi study
csht_18y,child sitting height at 18y (cm)
cwaist_18y,child waist circ at 18y (cm)
chip_18y,child hip circ at 18y (cm)
cwhr_18y,child WHR at 18y
chc_18y,child head circ at 18y (cm)
cma_18y,child muac at 18y (mm)
ctr_18y,child tricep skinfold at 18y (mm)
css_18y,child subscapular skinfold at 18y (mm)
cbi_18y,child bicep skinfold at 18y (mm)
csu_18y,child suprailiac skinfold at 18y (mm)
canth_18y, child anthro done at 18y
cbmc1,pmns child-arm BMC at 18y
cfm1,pmns child-fat mass-arms at 18y
clm1,pmns child-lean mass-arms at 18y
cbmc2,pmns child-leg BMC at 18y
cfm2,pmns child-fat mass-legs- at 18y
clm2,pmns child-lean mass-legs- at 18y
cbmc3,pmns child-trunk BMC at 18y
cfm3,pmns child-fat mass-Trunk- at 18y
clm3,pmns child-lean mass-Trunk- at 18y
cbmc7,pmns child-total BMC at 18y
cfm7,pmns child-fat mass-Total- at 18y
clm7,pmns child-lean mass-Total- at 18y
cbmc59,pmns child-Bone mineral calcium in g- Android- at 18y
cfm59,pmns child-fat mass-Android- at 18y
clm59,pmns child-lean mass-Android- at 18y
cbmc60,pmns child-Bone mineral calcium in g-Gynoid- at 18y
cfm60,pmns child-fat mass-Gynoid- at 18y
clm60,pmns child-lean mass-Gynoid- at 18y
cbmc61,61 cbmc
cfm61,61 cfm
clm61,61 clm
cbmd0,pmns child-head BMD at 18y
cbmc0,pmns child-head BMC at 18y
carea0,pmns child-head area at 18y
cbmd1,pmns child-arm BMD at 18y
carea1,pmns child-arm area at 18y
cbmd2,pmns child-leg BMD at 18y
carea2,pmns child-leg area at 18y
cbmd3,pmns child-trunk BMD at 18y
carea3,pmns child-trunk area at 18y
cbmd4,pmns child-ribs BMD at 18y
cbmc4,pmns child-ribs BMC at 18y
carea4,pmns child-ribs area at 18y
cbmd5,pmns child-pelvis BMD at 18y
cbmc5,pmns child-pelvis BMC at 18y
carea5,pmns child-pelvis area at 18y
cbmd6,pmns child-spine BMD at 18y
cbmc6,pmns child-spine BMC at 18y
carea6,pmns child-spine area at 18y
cbmd7,pmns child-total BMD at 18y
carea7,pmns child-total area at 18y
cbmd61,61 cbmd
carea61,61 carea
cbmdsp17,17 cbmdsp
cbmcsp17,17 cbmcsp
careasp17,17 careasp
cbmdsp18,18 cbmdsp
cbmcsp18,18 cbmcsp
careasp18,18 careasp
cbmdsp19,pmns child-L1 BMD at 18y
cbmcsp19,pmns child-L1 BMC at 18y
careasp19,pmns child-L1 area at 18y
cbmdsp20,pmns child-L2 BMD at 18y
cbmcsp20,pmns child-L2 BMC at 18y
careasp20,pmns child-L2 area at 18y
cbmdsp21,pmns child-L3 BMD at 18y
cbmcsp21,pmns child-L3 BMC at 18y
careasp21,pmns child-L3 area at 18y
cbmdsp22,pmns child-L4 BMD at 18y
cbmcsp22,pmns child-L4 BMC at 18y
careasp22,pmns child-L4 area at 18y
cbmdsp23,23 cbmdsp
cbmcsp23,23 cbmcsp
careasp23,23 careasp
cbmdsp26,pmns child-L1L2 BMD at 18y
cbmcsp26,pmns child-L1L2 BMC at 18y
careasp26,pmns child-L1L2 area at 18y
cbmdsp27,pmns child-L1L3 BMD at 18y
cbmcsp27,pmns child-L1L3 BMC at 18y
careasp27,pmns child-L1L3 area at 18y
cbmdsp28,pmns child-L1L4 BMD at 18y
cbmcsp28,pmns child-L1L4 BMC at 18y
careasp28,pmns child-L1L4 area at 18y
cbmdsp29,pmns child-L2L3 BMD at 18y
cbmcsp29,pmns child-L2L3 BMC at 18y
careasp29,pmns child-L2L3 area at 18y
cbmdsp30,pmns child-L2L4 BMD at 18y
cbmcsp30,pmns child-L2L4 BMC at 18y
careasp30,pmns child-L2L4 area at 18y
cbmdsp31,pmns child-L4L5 BMD at 18y
cbmcsp31,pmns child-L4L5 BMC at 18y
careasp31,pmns child-L4L5 area at 18y
cbmdf0,pmns child-femur-neck BMD at 18y
cbmcf0,pmns child-femur-neck BMC at 18y
careaf0,pmns child-femur-neck area at 18y
cbmdf1,pmns child-femur-wards BMD at 18y
cbmcf1,pmns child-femur-wards BMC at 18y
careaf1,pmns child-femur-wards area at 18y
cbmdf2,pmns child-femur-troch BMD at 18y
cbmcf2,pmns child-femur-troch BMC at 18y
careaf2,pmns child-femur-troch area at 18y
cbmdf3,pmns child-femur-shaft BMD at 18y
cbmcf3,pmns child-femur-shaft BMC at 18y
careaf3,pmns child-femur-shaft area at 18y
cbmdf4,pmns child-femur-total BMD at 18y
cbmcf4,pmns child-femur-total BMC at 18y
careaf4,pmns child-femur-total area at 18y
cbmdf5,pmns child-femur-upper neck BMD at 18y
cbmcf5,pmns child-femur-upper neck BMC at 18y
careaf5,pmns child-femur-upperneck area at 18y
cbmdf6,pmns child-femur-lower neck BMD at 18y
cbmcf6,pmns child-femur-lower neck BMC at 18y
careaf6,pmns child-femur-lower neck area at 18y
ctbmdyasp19,19 ctbmdyasp
czbmdamsp19,19 czbmdamsp
ctbmdyasp20,20 ctbmdyasp
czbmdamsp20,20 czbmdamsp
ctbmdyasp21,21 ctbmdyasp
czbmdamsp21,21 czbmdamsp
ctbmdyasp22,22 ctbmdyasp
czbmdamsp22,22 czbmdamsp
ctbmdyasp26,26 ctbmdyasp
czbmdamsp26,26 czbmdamsp
ctbmdyasp27,27 ctbmdyasp
czbmdamsp27,27 czbmdamsp
ctbmdyasp28,28 ctbmdyasp
czbmdamsp28,28 czbmdamsp
ctbmdyasp29,29 ctbmdyasp
czbmdamsp29,29 czbmdamsp
ctbmdyasp30,30 ctbmdyasp
czbmdamsp30,30 czbmdamsp
ctbmdyasp31,31 ctbmdyasp
czbmdamsp31,31 czbmdamsp
ctbmdyaf0,0 ctbmdyaf
czbmdamf0,0 czbmdamf
ctbmdyaf1,1 ctbmdyaf
czbmdamf1,1 czbmdamf
ctbmdyaf2,2 ctbmdyaf
czbmdamf2,2 czbmdamf
ctbmdyaf4,4 ctbmdyaf
czbmdamf4,4 czbmdamf
ctbmdya7,pmns child-t score-total-young adult at 18y
czbmdam7,pmns child-z score-total -age matched at 18y
ctbmdya61,61 ctbmdya
czbmdam61,61 czbmdam
cagedx_18y,pmns child-age at 18y  (y)
ctissuemass7_18y,pmns child-total tissue mass (gm):fat+lean+bone at 18y
cfatp_18y,pmns child-body fat % at 18y
cleanp_18y,pmns child-body lean % at 18y
cinindexwh_18y,child-insulinogenic index at 18y using wareham formule
cinindexwh6,child-insulinogenic index at 6y using wareham formule
cdispindex_i,child-disposition index at pmns2
cdispindex6,child-disposition index at 6y
cdispindex_18y,Child disposition index at 18y
cinindex_18y,child-insulinogenic index at 18y
lmpdiffgr.lmp < usg,1
lmpdiffgr.lmp>usg,2
lmpdiffgr.lmp=usg,3
plbwr,Placenta to birthweight ratio
cwaistrisk_18y,child-waist circ risk at 18y
ctgrisk_18y,child-triglyceridesrisk at 18y
chdlrisk_18y,child-hdl risk at 18y
cbprisk_18y,child-blood pressure risk at 18y
ccholrisk_18y,child-cholesterol risk at 18y
